arrival_info,stop_number,stop_name,stop_id,latitude,longitude
預計20:00發車,1,台北生技園區,1155700020,25.052333,121.6103299
預計20:00發車,2,國家文官學院,1156100420,25.052819,121.6139003
預計20:00發車,3,誠正國中,1157100140,25.051803,121.6158658
預計20:00發車,4,南港水廠,1157100040,25.049543,121.615625
預計20:00發車,5,六福公園,1157100220,25.048866,121.616119
預計20:00發車,6,福山抽水站,1156500140,25.04638,121.61729
預計20:00發車,7,胡適國小,1157200340,25.043561,121.6188397
預計20:00發車,8,金德橋頭,1156500040,25.042614,121.6196862
預計20:00發車,9,舊莊公園,1158001240,25.040972,121.6208139
預計20:00發車,10,舊莊站,1157201020,25.039219,121.6233788
今日未營運,11,舊莊,1158001030,25.038074,121.622697
今日未營運,12,坑口運動公園,1158000240,25.035249,121.6235797
今日未營運,13,山豬窟游泳池,1158000160,25.032245,121.6242927
今日未營運,14,坑口運動公園,1158000200,25.035123,121.6236712
今日未營運,15,舊莊,1158001060,25.038111,121.6228397
今日未營運,16,舊莊站,1157201000,25.039454,121.6233248
