arrival_info,stop_number,stop_name,stop_id,latitude,longitude
5分鐘,1,臺北車站(青島),1004100820,25.044844,121.517704
進站中,2,臺大醫院,1005500340,25.042497,121.5185042
進站中,3,中正紀念堂,1004800920,25.037153,121.520771
進站中,4,信義杭州路口,1004800820,25.0357,121.5238361
進站中,5,捷運東門站,1064100120,25.034134,121.5269937
3分鐘,6,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
4分鐘,7,信義新生路口,1006100020,25.03353,121.5323283
6分鐘,8,捷運大安森林公園站,1065600420,25.033496,121.5356316
7分鐘,9,信義建國路口,1065800120,25.033441,121.539045
9分鐘,10,捷運大安站(信義),1065800420,25.033323,121.5432319
10分鐘,11,信義大安路口,1068300220,25.0332,121.5456
11分鐘,12,信義敦化路口,1068100120,25.033262,121.548298
13分鐘,13,捷運信義安和站(信義),1068500320,25.033142,121.551229
進站中,14,信義通化街口,1067900420,25.033087,121.5539941
進站中,15,信義光復路口,1067900320,25.03311,121.55687
進站中,16,捷運台北101/世貿站(信義),1104900320,25.032802,121.564536
進站中,17,信義松仁路口(信義),1104700420,25.032733,121.5671167
4分鐘,18,捷運象山站,1104700720,25.032648,121.568984
7分鐘,19,國稅局宿舍,1108500020,25.03433,121.575678
8分鐘,20,松山商職(信義),1108600020,25.035968,121.5777733
進站中,21,松山商職(福德),1107700520,25.036219,121.5787474
進站中,22,松友新村,1107700620,25.036858,121.581141
進站中,23,信義行政中心(奉天宮),1107800120,25.037669,121.5832737
4分鐘,24,中行里,1107800000,25.040216,121.584886
5分鐘,25,玉成公園(中坡),1107700200,25.041958,121.585063
6分鐘,26,協和祐德高中,1156700000,25.042564,121.583992
7分鐘,27,捷運後山埤站(忠孝),1157500020,25.044452,121.5822223
9分鐘,28,聯合醫院忠孝院區,1157600120,25.048227,121.585736
10分鐘,29,國華新村,1157600020,25.048872,121.5878735
11分鐘,30,陸軍後勤指揮部,1155800120,25.04964,121.59096
12分鐘,31,捷運昆陽站,1155800022,25.050052,121.59306
15分鐘,32,南港高中,1155100400,25.052951,121.5952331
17分鐘,33,南港分局(向陽),1155100300,25.055334,121.5944152
