arrival_info,stop_number,stop_name,stop_id,latitude,longitude
28分鐘,1,重慶南路一段,1000500040,25.045607,121.5131869
30分鐘,2,博物館(襄陽),1004600220,25.043339,121.5157262
31分鐘,3,捷運台大醫院站,1004600040,25.041935,121.5161481
進站中,4,一女中(公園),1004800040,25.038007,121.5149627
進站中,5,市立大學附小,1004800540,25.036462,121.5149763
進站中,6,捷運中正紀念堂站(勞保局),1006600820,25.033718,121.5173063
4分鐘,7,羅斯福潮州街口,1007400440,25.030089,121.5201543
5分鐘,8,捷運古亭站(羅斯福),1008400440,25.027562,121.5219
6分鐘,9,羅斯福金門街口,1008400340,25.024288,121.5243501
7分鐘,10,羅斯福浦城街口,1064600340,25.022418,121.5260858
8分鐘,11,捷運台電大樓站,1008900420,25.020027,121.528697
9分鐘,12,台電大樓,1067300240,25.017546,121.531379
12分鐘,13,捷運公館站,1009000140,25.014321,121.534722
15分鐘,14,師大分部,1167700041,25.00814,121.538064
16分鐘,15,武功國小(羅斯福),1167600140,25.003411,121.5384705
17分鐘,16,捷運萬隆站,1167800040,25.001862,121.5387951
18分鐘,17,萬隆,1167000440,24.999395,121.5398039
進站中,18,財政園區,1167400040,24.995846,121.54099
4分鐘,19,景美國中,1168400020,24.992776,121.5427089
7分鐘,20,景美國小(景興),1166900340,24.989707,121.5425368
9分鐘,21,世新大學,1164200020,24.988478,121.54381
12分鐘,22,復興派出所,1164100020,24.986788,121.5465259
13分鐘,23,考試院,1164300220,24.987338,121.5497353
15分鐘,24,溝子口,1164300320,24.987637,121.5520009
16分鐘,25,中港抽水站,1164400040,24.98616,121.55331
17分鐘,26,實踐國中,1164400140,24.984374,121.5542069
18分鐘,27,實踐國小,1166300120,24.983484,121.556904
20分鐘,28,忠順街,1166200120,24.983989,121.5588
21分鐘,29,興隆路口(忠順),1166300220,24.984291,121.5609564
22分鐘,30,國泰新村(興隆),1166000340,24.982543,121.5622646
24分鐘,31,忠順廟,1165800120,24.982483,121.56469
25分鐘,32,司法新村,1165700120,24.98305,121.56636
26分鐘,33,景文中學,1165700320,24.983787,121.5685285
26分鐘,34,木南公園,1165700000,24.985348,121.570615
28分鐘,35,永安街,1165000260,24.986882,121.569664
29分鐘,36,木柵市場,1165000000,24.987971,121.5686893
32分鐘,37,文山行政中心,1160600020,24.989796,121.5698199
34分鐘,38,萬壽橋頭(木柵),1165602800,24.991314,121.5711152
35分鐘,39,萬芳路口,1165602700,24.993487,121.5715386
36分鐘,40,木柵高工,1165600200,24.996076,121.5722856
進站中,41,捷運木柵站,1165601620,24.997873,121.5743716
進站中,42,博嘉國小,1165601820,24.999501,121.5755679
進站中,43,風動石,1165601420,25.001054,121.5793414
進站中,44,石壁坑,1165600520,25.00261,121.58301
3分鐘,45,萬福橋,1165602920,25.002997,121.5846124
3分鐘,46,象頭埔,1165602420,25.001716,121.5884514
4分鐘,47,富德,1165601920,24.999814,121.5905524
5分鐘,48,文和橋,1165600000,25.002203,121.5951838
6分鐘,49,富德里,2224100600,25.004447,121.596216
7分鐘,50,草地尾,2224100520,25.004754,121.5980199
7分鐘,51,萬順寮,2224401720,25.003853,121.6007882
9分鐘,52,東南科技大學,2224401020,25.00231,121.604254
10分鐘,53,台新工廠,2224400520,25.001691,121.6060092
13分鐘,54,文山路三段,2224400220,24.998421,121.608972
13分鐘,55,阿柔洋,2224401120,24.997975,121.611761
14分鐘,56,福安居一,2224401920,24.998289,121.614805
