arrival_info,stop_number,stop_name,stop_id,latitude,longitude
12分鐘,1,仁寶大樓,1149200060,25.079478,121.568256
13分鐘,2,基湖路口,1149200560,25.080515,121.5659034
14分鐘,3,內湖基湖路口,1149200100,25.081675,121.5653587
15分鐘,4,捷運西湖站,1149300220,25.082197,121.5658848
17分鐘,5,恕德家商,1149300120,25.081963,121.5690454
18分鐘,6,麗山街,1144400420,25.081132,121.57184
20分鐘,7,捷運港墘站(內湖高工),1144400220,25.080149,121.5746181
21分鐘,8,港墘派出所,1144800240,25.078636,121.57619
24分鐘,9,港墘路,1149401141,25.075848,121.574502
30分鐘,10,國道1號25Km(虛擬站不停靠),1039000060,25.078271,121.508908
36分鐘,11,高公局,2434600560,25.067271,121.424034
40分鐘,12,國道1號41Km(虛擬站不停靠),2439000060,25.065919,121.378936
進站中,13,長庚醫院,3337500340,25.059661,121.3678435
4分鐘,14,復興一路,3338000360,25.057874,121.365153
6分鐘,15,文化三路口,3338100140,25.058019,121.363605
7分鐘,16,憲訓中心,3338100260,25.059429,121.362684
8分鐘,17,公西,3338100000,25.062541,121.361442
9分鐘,18,林口轉運站,2444800902,25.06696,121.361889
12分鐘,19,行政園區,2445200900,25.069117,121.3620503
13分鐘,20,未來城社區,2444801420,25.07216,121.3644969
15分鐘,21,文化三路忠孝路口,2444603060,25.073231,121.366216
16分鐘,22,扶輪公園(文化三路),2444801800,25.074581,121.3685872
17分鐘,23,夢想之都,2444803900,25.075904,121.3703745
19分鐘,24,瑞士花園9,2444803300,25.077305,121.3721254
22分鐘,25,台北新都,2444100220,25.076119,121.3753406
23分鐘,26,運動公園(仁愛路),2444100720,25.075156,121.376666
26分鐘,27,林口高中,2444902320,25.073847,121.38103
28分鐘,28,仁愛東湖路口,2444100120,25.074674,121.383213
29分鐘,29,松柏蘆,2444902120,25.076093,121.385794
30分鐘,30,林口區公所,2444902420,25.07654,121.388861
31分鐘,31,仁愛麗晶,2444900620,25.076308,121.391375
32分鐘,32,新生街口,2444904320,25.075892,121.3939165
33分鐘,33,粉寮路,2444903400,25.076396,121.396482
36分鐘,34,醒吾科技大學,2444602560,25.078518,121.3951577
37分鐘,35,林口,2444601060,25.07867,121.393094
38分鐘,36,林口農會,2444601660,25.078765,121.3913393
38分鐘,37,林口農會二,2444602960,25.079042,121.389122
39分鐘,38,頭湖路口,2444602660,25.079278,121.3872413
40分鐘,39,中華電信,2444600300,25.080172,121.3844498
42分鐘,40,中山文一路口,2444600260,25.081303,121.382388
42分鐘,41,春城麗池,2444601860,25.082269,121.3805086
44分鐘,42,文化三路中山路口,2444600400,25.083778,121.3781153
45分鐘,43,幸福市,2445900700,25.084554,121.377816
46分鐘,44,林口國民運動中心(文化三路),2445900500,25.086637,121.379246
47分鐘,45,文化三路中華路口,2445600120,25.091334,121.382345
49分鐘,46,湖北里2.3鄰路口,2445600020,25.089603,121.385536
49分鐘,47,林口站,2444601130,25.088879,121.386755
