arrival_info,stop_number,stop_name,stop_id,latitude,longitude
4分鐘,1,內湖高中,1147500060,25.079013,121.5883097
5分鐘,2,捷運文德站(碧湖公園),1147500260,25.078585,121.584249
6分鐘,3,湖光國宅,1147300060,25.07859,121.58078
7分鐘,4,西湖圖書館(湖光教會),1144700061,25.07889,121.578499
10分鐘,5,港墘派出所,1144800240,25.078636,121.57619
進站中,6,瑞光路,1149100230,25.074821,121.577343
4分鐘,7,公館山,1149100040,25.071988,121.5809507
5分鐘,8,麗寶大樓,1149100340,25.070391,121.582671
6分鐘,9,時報廣場,1149401060,25.06856,121.5831298
進站中,10,民權大橋,1149400360,25.06702,121.5791
5分鐘,11,新益里,1059200140,25.062286,121.566155
7分鐘,12,民生國中,1059100040,25.059661,121.5679233
9分鐘,13,新東街口,1058900160,25.059272,121.5663967
進站中,14,民生社區活動中心,1057300060,25.058808,121.5611445
進站中,15,聯合二村,1057600260,25.058624,121.5589234
進站中,16,介壽國中,1057200060,25.058415,121.5560444
3分鐘,17,松山新城,1057700040,25.05562,121.55556
6分鐘,18,南京新村,1057900140,25.052778,121.5568095
9分鐘,19,南京寧安街口,1058000060,25.051659,121.5555163
11分鐘,20,南京敦化路口(小巨蛋),1059500060,25.051793,121.5495209
進站中,21,捷運南京復興站,1054700060,25.051885,121.5444647
進站中,22,南京龍江路口,1048700460,25.051963,121.5407049
進站中,23,南京建國路口,1048700360,25.052089,121.5372713
3分鐘,24,捷運松江南京站,1048600160,25.052114,121.533302
5分鐘,25,南京吉林路口,1045700260,25.052112,121.5303325
進站中,26,南京林森路口,1045400160,25.052167,121.5257174
進站中,27,中山市場,1044400040,25.051264,121.5220211
5分鐘,28,行政院,1004100540,25.046484,121.5197596
8分鐘,29,臺北車站(忠孝),1004100761,25.047409,121.5139852
進站中,30,新北大道中華路口,2416100360,25.061616,121.483074
3分鐘,31,新北大道重光街口,2415800160,25.061645,121.4667761
3分鐘,32,新北大道化成路口,2425000060,25.061176,121.464221
3分鐘,33,思源新北大道路口,2425001640,25.059442,121.4595888
4分鐘,34,頭前國中,2425002540,25.0553,121.45958
5分鐘,35,頭前國中(中原路),2425100760,25.054455,121.458557
6分鐘,36,中原路一,2425100060,25.054408,121.454085
8分鐘,37,中原里,2424800760,25.054415,121.4504073
10分鐘,38,榮富國小,2424801620,25.052595,121.4478902
進站中,39,中和街,2424800240,25.049613,121.447295
3分鐘,40,新莊高中(幸福路),2424900960,25.049113,121.4453719
4分鐘,41,新莊高中(新莊文藝中心),2424900800,25.049549,121.444921
進站中,42,中平國中,2424900000,25.051888,121.444782
進站中,43,行政院新莊聯合辦公大樓(中央路),2424801420,25.056756,121.445677
進站中,44,捷運新莊副都心站(中央路),2424700520,25.057725,121.447343
4分鐘,45,中港大排願景館,2424700220,25.058789,121.451089
