arrival_info,stop_number,stop_name,stop_id,latitude,longitude
19分鐘,1,藝香公園(果菜市場),2205201060,25.02191,121.450234
20分鐘,2,新月橋,2205200910,25.026206,121.452324
21分鐘,3,名來新城(中正路),2205200100,25.026087,121.454664
22分鐘,4,名來新城,2205200720,25.025481,121.455729
23分鐘,5,聯合醫院板橋院區(龍泉街),2205100520,25.023469,121.458477
24分鐘,6,新埔國中,2205100000,25.024605,121.460081
26分鐘,7,新海路,2205100260,25.026487,121.458899
27分鐘,8,新海橋頭,2204800120,25.02896,121.458495
進站中,9,聯邦新城,2204800220,25.030056,121.46054
進站中,10,長江民生路口,2204800320,25.030794,121.462731
進站中,11,大漢橋(長江路),2204600020,25.031299,121.464521
3分鐘,12,溪頭,2204600220,25.03201,121.46709
4分鐘,13,錦輝電纜,2204600320,25.032956,121.470221
5分鐘,14,江子翠,2204400020,25.03387,121.473318
5分鐘,15,華江橋(長江路),2204400621,25.034382,121.475095
10分鐘,16,中國時報,1085500121,25.035286,121.4969389
11分鐘,17,捷運龍山寺站,1085500321,25.035204,121.498804
13分鐘,18,龍山寺(剝皮寮),1085200701,25.036891,121.501585
15分鐘,19,祖師廟(康定),1084900400,25.039681,121.5019792
16分鐘,20,西門國小(臺大醫院北護分院),1084500200,25.042344,121.502463
18分鐘,21,峨眉街口(中醫院區),1084300100,25.044994,121.503074
