arrival_info,stop_number,stop_name,stop_id,latitude,longitude
70分鐘,1,新北板橋公車站,2204100320,25.012817,121.462239
79分鐘,2,綜合運動場,2205000600,25.01411,121.458797
80分鐘,3,大庭新村,2205300000,25.017696,121.456234
81分鐘,4,港尾福德宮,2205300100,25.019005,121.4556607
81分鐘,5,港尾,2205400500,25.020767,121.454829
82分鐘,6,板橋國中(435藝文特區),2205200300,25.022921,121.454395
83分鐘,7,名來新城(中正路),2205200100,25.026087,121.454664
83分鐘,8,名來新城,2205200720,25.025481,121.455729
84分鐘,9,聯合醫院板橋院區(龍泉街),2205100520,25.023469,121.458477
85分鐘,10,新埔國中,2205100000,25.024605,121.460081
86分鐘,11,新海路,2205100260,25.026487,121.458899
87分鐘,12,新海橋頭,2204800120,25.02896,121.458495
88分鐘,13,聯邦新城,2204800220,25.030056,121.46054
88分鐘,14,長江民生路口,2204800320,25.030794,121.462731
89分鐘,15,長江路口,2204700140,25.03029,121.4638057
89分鐘,16,大漢橋,2204800040,25.027651,121.4651306
90分鐘,17,捷運新埔站,2204700230,25.024488,121.46687
92分鐘,18,板橋花市,2204100500,25.021691,121.469272
93分鐘,19,捷運新埔站,2204700200,25.024906,121.467453
97分鐘,20,捷運頭前庄站,2424301000,25.039912,121.4623098
98分鐘,21,頭前,2424301800,25.041731,121.46516
98分鐘,22,金陵女中,2415801400,25.042747,121.4665635
99分鐘,23,中興街口,2416000000,25.045403,121.469408
100分鐘,24,捷運先嗇宮站,2415801620,25.046158,121.471374
100分鐘,25,五谷王廟,2416000220,25.047009,121.473986
103分鐘,26,菜寮(重新路),2414400620,25.057218,121.487921
104分鐘,27,捷運菜寮站,2414301020,25.059073,121.4905425
104分鐘,28,中山藝術公園,2414300120,25.060432,121.4925214
105分鐘,29,大同路口,2414300020,25.061403,121.49493
106分鐘,30,正義重新路口,2414700300,25.063532,121.4975969
107分鐘,31,長元西街口,2414700000,25.065732,121.4969099
108分鐘,32,長壽西街口,2414600200,25.067084,121.496507
108分鐘,33,三安里,2414600000,25.068631,121.4960811
108分鐘,34,龍門路口,2414600700,25.070313,121.495103
109分鐘,35,德林寺(三和路),2414600500,25.072123,121.4944102
109分鐘,36,厚德派出所,2415000900,25.073492,121.4924535
112分鐘,37,格致中學(三和路),2415101900,25.074357,121.490969
113分鐘,38,三和國中,2415200000,25.076399,121.4873983
114分鐘,39,捷運三和國中站,2415200700,25.077101,121.486132
114分鐘,40,建和新村,2415200400,25.078027,121.4844874
114分鐘,41,幸福市場,2415200300,25.078913,121.4828427
115分鐘,42,捷運徐匯中學站,2474700460,25.080319,121.480476
117分鐘,43,民和公寓,2474800260,25.081091,121.479118
117分鐘,44,溪墘,2475300560,25.08167,121.47682
118分鐘,45,鷺江國小(三民路),2476000600,25.082817,121.4757728
120分鐘,46,捷運三民高中站,2476000400,25.085397,121.473682
121分鐘,47,三民高中,2476000060,25.0863,121.4725592
121分鐘,48,空中大學(三民路),2476000200,25.087643,121.47086
121分鐘,49,民族路口,2476000101,25.089033,121.469135
122分鐘,50,捷運蘆洲站,2476000500,25.091486,121.4638568
124分鐘,51,灰瑤,2476500100,25.092968,121.4619116
127分鐘,52,成德公園,2484300600,25.10438,121.4528962
128分鐘,53,成泰路口,2484200100,25.107049,121.4537424
129分鐘,54,獅仔頭,2484200401,25.109396,121.455757
130分鐘,55,外獅頭,2494600200,25.118043,121.457038
131分鐘,56,關渡大橋一,2494600701,25.12037,121.4560749
134分鐘,57,許厝,2515900900,25.13298,121.4591607
135分鐘,58,捷運竹圍站,2517300500,25.136591,121.4601198
