arrival_info,stop_number,stop_name,stop_id,latitude,longitude
66分鐘,1,板橋花市,2204100500,25.021691,121.469272
69分鐘,2,捷運新埔站,2204700200,25.024906,121.467453
75分鐘,3,捷運頭前庄站(思源路),2425100260,25.040478,121.4602315
76分鐘,4,臺北醫院,2421300000,25.042298,121.460044
78分鐘,5,思源復興路口,2425001900,25.045673,121.460015
79分鐘,6,捷運幸福站,2425100100,25.049201,121.459998
81分鐘,7,思源頭前路口,2425002700,25.052338,121.459976
82分鐘,8,頭前國中,2425002500,25.054801,121.459962
84分鐘,9,思源新北大道路口,2425001601,25.059334,121.460104
85分鐘,10,捷運新北產業園區站,2488601200,25.061139,121.460032
86分鐘,11,五工福慧路口,2488600100,25.06288,121.4587179
87分鐘,12,管理中心,2488601060,25.063771,121.457635
88分鐘,13,標準廠房,2488601100,25.06504,121.456024
89分鐘,14,政錩汽車,2488600800,25.066758,121.4538968
89分鐘,15,世翔,2488600560,25.068089,121.4511096
91分鐘,16,工商展覽中心,2488600060,25.065054,121.4486908
93分鐘,17,勞工活動中心,2489100240,25.062158,121.4501639
95分鐘,18,中港大排願景館,2424700260,25.05898,121.450887
97分鐘,19,捷運新莊副都心站(中央路),2424700560,25.057744,121.446968
97分鐘,20,榮華中平路口,2421900120,25.055632,121.4451699
