arrival_info,stop_number,stop_name,stop_id,latitude,longitude
17分鐘,1,捷運昆陽站,1155800020,25.050218,121.5936508
19分鐘,2,南港高中,1155100400,25.052951,121.5952331
20分鐘,3,南港分局(向陽),1155100300,25.055334,121.5944152
21分鐘,4,溫歌華社區,1155100620,25.058154,121.5932404
22分鐘,5,芬第社區,1155100220,25.05837,121.5960479
24分鐘,6,東陽公園,1157300140,25.057654,121.5983533
26分鐘,7,東新國小,1157300220,25.057468,121.6020404
26分鐘,8,南港高工(重陽),1156000520,25.058155,121.60707
27分鐘,9,育成高中,1156000120,25.058923,121.6093837
28分鐘,10,三重里,1156000020,25.059321,121.610399
28分鐘,11,南港抽水站,1156000220,25.06113,121.61237
30分鐘,12,捷運南港軟體園區站,1156801140,25.059853,121.61533
