arrival_info,stop_number,stop_name,stop_id,latitude,longitude
末班已過,1,二號倉庫,2524100020,25.25892,121.500969
末班已過,2,埔頭坑,2524501360,25.245089,121.518588
末班已過,3,名人文物館,2524500960,25.248615,121.508413
末班已過,4,八賢活動中心,2524500120,25.236908,121.512905
末班已過,5,八賢十站,2524500020,25.22855,121.5204
末班已過,6,德賢一路口,2524502760,25.225421,121.5176
末班已過,7,木馬埕,2524500620,25.220716,121.528761
末班已過,8,木屐寮,2524500520,25.225879,121.530533
末班已過,9,龍嚴,2524502920,25.228458,121.531527
末班已過,10,示範公墓,2524500820,25.226434,121.537351
末班已過,11,二坪頂,2524600000,25.238493,121.537631
末班已過,12,示範公墓,2524500860,25.226599,121.537442
末班已過,13,龍嚴,2524502920,25.228458,121.531527
末班已過,14,木屐寮,2524500560,25.225908,121.530419
末班已過,15,木馬埕,2524500660,25.220779,121.528544
末班已過,16,德賢一路口,2524502720,25.225372,121.51775
末班已過,17,八賢十站,2524500020,25.22855,121.5204
末班已過,18,八賢活動中心,2524500160,25.237087,121.512997
末班已過,19,名人文物館,2524500920,25.24848,121.508468
末班已過,20,埔頭坑,2524501360,25.245089,121.518588
末班已過,21,二號倉庫,2524100060,25.25897,121.50173
