arrival_info,stop_number,stop_name,stop_id,latitude,longitude
尚未發車,1,舊莊,1158001360,25.038405,121.6227344
尚未發車,2,舊莊國小,1158000960,25.039526,121.621016
尚未發車,3,舊莊一站,1157200960,25.040912,121.6190444
尚未發車,4,中研院,1152900000,25.043422,121.616561
尚未發車,5,中研新村,1157400100,25.045074,121.615639
進站中,6,圓拱橋,1156400100,25.047462,121.615728
進站中,7,南港水廠,1156400000,25.049379,121.6159492
進站中,8,誠正國中,1157100100,25.051546,121.6160314
4分鐘,9,南港展覽館,1156800260,25.05534,121.6156
5分鐘,10,南港,1156800060,25.055394,121.6136587
7分鐘,11,南港高工(南港路),1156800560,25.054968,121.6097763
8分鐘,12,南港行政中心,1157900160,25.054411,121.6066934
進站中,13,台肥新村,1157900060,25.053826,121.6035015
進站中,14,南港輪胎,1157800460,25.05341,121.6006319
進站中,15,東明里/臺北流行音樂中心,1157800360,25.0538,121.5985798
3分鐘,16,土地公廟,1155100060,25.05449,121.5955099
進站中,17,玉成國小,1157000060,25.054384,121.5928002
進站中,18,西新里(新新公園),1155400060,25.053503,121.5899925
進站中,19,南港路三段,1155400260,25.053048,121.5877474
進站中,20,松山磚廠,1155400160,25.05265,121.5850508
4分鐘,21,玉成里,1157700060,25.050922,121.5809118
6分鐘,22,松山車站(八德),1056700062,25.050168,121.576598
7分鐘,23,松山農會,1056600060,25.050073,121.574914
進站中,24,饒河街觀光夜市(塔悠),1056600560,25.050387,121.571871
進站中,25,南松山(南京),1058500060,25.051515,121.569058
進站中,26,南京公寓(捷運南京三民),1056900061,25.051455,121.5666502
進站中,27,南京三民路口,1056400160,25.051543,121.5610057
6分鐘,28,南京寧安街口,1058000060,25.051659,121.5555163
8分鐘,29,南京敦化路口(小巨蛋),1059500060,25.051793,121.5495209
進站中,30,捷運南京復興站,1054700060,25.051885,121.5444647
3分鐘,31,南京龍江路口,1048700460,25.051963,121.5407049
4分鐘,32,南京建國路口,1048700360,25.052089,121.5372713
6分鐘,33,捷運松江南京站,1048600160,25.052114,121.533302
7分鐘,34,南京吉林路口,1045700260,25.052112,121.5303325
9分鐘,35,南京林森路口,1045400160,25.052167,121.5257174
3分鐘,36,捷運中山站(志仁高中),1035200160,25.052867,121.519866
6分鐘,37,圓環(南京),1035000260,25.053538,121.5168987
進站中,38,民生重慶路口,1035600000,25.056766,121.5138258
進站中,39,涼州重慶路口,1035800300,25.060669,121.5135455
進站中,40,臺北橋,1034800200,25.061559,121.5113712
