arrival_info,stop_number,stop_name,stop_id,latitude,longitude
6分鐘,1,捷運石牌站(東華),1128200000,25.115156,121.5154878
9分鐘,2,綜合市場(捷運石牌站),1126700720,25.115721,121.5158012
10分鐘,3,永明派出所,1126700020,25.117369,121.516564
11分鐘,4,榮總,1121700220,25.118566,121.5196852
13分鐘,5,振興公園,1128300020,25.11876,121.52352
14分鐘,6,齊賢華廈,1115700420,25.118443,121.5249985
進站中,7,齊福華廈,1115700320,25.118381,121.5275693
末班已過,8,天母國中,1115300220,25.11807,121.53707
3分鐘,9,天母廣場,1115600500,25.11927,121.53084
4分鐘,10,天母新村,1115200200,25.121299,121.5315658
6分鐘,11,天母,1115100100,25.12424,121.53273
