arrival_info,stop_number,stop_name,stop_id,latitude,longitude
進站中,1,永春高中,1108000000,25.033446,121.5797804
進站中,2,松山商職(松山),1107600100,25.036029,121.578609
末班已過,3,永春公寓,1107600000,25.040006,121.5779488
末班已過,4,永春里(忠孝),1107700120,25.041101,121.5785081
末班已過,5,春光公園,1106200220,25.042737,121.580888
末班已過,6,忠孝大道路口,1107700440,25.042363,121.581579
末班已過,7,大道路,1107700040,25.040157,121.5827287
末班已過,8,信義行政中心(奉天宮),1107800160,25.03789,121.58325
末班已過,9,松友新村,1107700660,25.037055,121.580964
末班已過,10,松山商職(福德),1107700560,25.036372,121.5787375
3分鐘,11,國業里,1107800360,25.03555,121.57704
4分鐘,12,國稅局宿舍,1108500060,25.034442,121.575497
9分鐘,13,松平路口,1104600340,25.030795,121.568193
10分鐘,14,信義國中(松仁),1105900040,25.02881,121.568164
12分鐘,15,吳興國小(莊敬),1105800260,25.026855,121.5680489
14分鐘,16,信義國中(莊敬),1105000200,25.027607,121.56521
15分鐘,17,臺北醫學大學,1105000300,25.028241,121.5634888
17分鐘,18,景新里,1104900400,25.029526,121.5623852
18分鐘,19,世貿中心(莊敬),1104900100,25.031399,121.561326
24分鐘,20,信義光復路口,1105200260,25.0331,121.55813
26分鐘,21,信義通化街口,1067900460,25.033193,121.5546221
進站中,22,捷運信義安和站(信義),1068500360,25.033223,121.552849
3分鐘,23,信義敦化路口,1068500260,25.033377,121.549449
5分鐘,24,仁愛國中,1068900100,25.035951,121.5490897
6分鐘,25,安和敦化路口,1068900400,25.039761,121.5489579
9分鐘,26,捷運忠孝敦化站,1069000200,25.043012,121.549174
12分鐘,27,市民大道口,1055700000,25.045757,121.5491941
14分鐘,28,市立體育場,1054900200,25.048949,121.549204
15分鐘,29,臺北小巨蛋,1055000000,25.05258,121.54933
18分鐘,30,長庚醫院,1050800000,25.05656,121.54929
19分鐘,31,富錦街口,1057200100,25.0596,121.55006
23分鐘,32,民權敦化路口,1054100060,25.062035,121.5482873
進站中,33,五常街口,1047600200,25.064149,121.5444202
7分鐘,34,大直國小,1046500220,25.079711,121.5453154
9分鐘,35,捷運大直站,1046500520,25.080216,121.5479855
10分鐘,36,植福宮,1046300000,25.081609,121.5488002
11分鐘,37,自強隧道(大直教會),1046400100,25.083737,121.5493072
12分鐘,38,自強隧道,1046400020,25.085862,121.5518959
14分鐘,39,捷運劍南路站,1046400320,25.08484,121.555253
進站中,40,美麗華,1144600120,25.084538,121.5581969
